Time,capacity_factor,dewpoint_temperature_2m(℃),temperature_2m(℃),relative_humidity(%),surface_solar_radiation_downwards_hourly(MJ/m2),surface_latent_heat_flux_hourly(MJ/m2),surface_net_solar_radiation_hourly(MJ/m2),surface_net_thermal_radiation_hourly(MJ/m2),surface_sensible_heat_flux_hourly(MJ/m2),total_precipitation_hourly(mm),potential_evaporation_hourly(mm),total_evaporation_hourly(mm),tcdc(0~100)
2021/6/1,0.1233,24.671636791185986,27.19902704164381,86.08823533682933,13.488049972928495,-6.53497955530711,11.314199325362797,-2.5945677885656577,-2.8036521509841386,20.32438664443303,-4.537803020415193,-2.6131619126689074,64.18350937269324
2021/6/2,0.2535,24.28247628862281,28.480387543547245,78.34872656622046,24.77391489355601,-9.275088410491104,20.767777460271525,-4.5742462426734,-5.986999520550585,0.3236178598750949,-8.238392166772728,-3.708831370973692,67.79229887959278
2021/6/3,0.2488,24.24300986999385,28.973274407141357,75.83911365361821,24.61631928739066,-8.526936131727819,20.63000858862799,-4.701194149717352,-6.165952546630201,1.579369304932338,-8.590463397744983,-3.4097120043192044,53.57404991094414
2021/6/4,0.2033,24.87298813391687,28.60184675844668,80.40175265173214,20.066425865074347,-8.281150263699981,16.815372868034764,-3.082041510925576,-5.13625170962281,19.13411757317885,-7.759814249763462,-3.3113732458528355,37.65606166405975
2021/6/5,0.043,24.24670295809662,25.44744080953584,92.92495700531938,3.653591603432072,-4.856415387920116,3.068995852606801,-0.9561954208088084,0.3265667964627381,61.16289527918098,-2.130507102587849,-1.9419313272216137,88.40391801743895
2021/6/6,0.002,23.772367848950328,25.227575095775517,91.5382206668539,4.857092797607304,-6.749929851716736,4.074165935765,-0.9365332084721398,1.2688142164187317,65.55639691905287,-2.999145662244445,-2.699144824980072,95.12780951939028
2021/6/7,0.1076,22.909441979739142,25.9944045398504,83.10742371518683,8.986887031350246,-7.023260282922051,7.524065903775225,-2.0473120078960303,0.6292442388838992,10.075095392549397,-3.948424270269786,-2.8083848013153103,83.60170348268664
2021/6/8,0.1857,23.64698557544008,27.14587468988723,81.505080792387,19.41233175799877,-8.905938952283847,16.23498425428715,-3.465536131114459,-3.022783515490982,7.179277514259583,-6.439150430676268,-3.561246083388788,89.30101233317176
2021/6/9,0.218,23.99507699912978,26.89934165143381,84.19951848598662,21.62097054655903,-9.900114253566208,18.08078768691092,-3.653578071686183,-3.9051234671480457,11.20264839525645,-6.254692230777913,-3.9587511474275625,91.83499228454023
2021/6/10,0.2124,24.196500516903622,27.538292483986574,82.23545643498892,21.011550271528407,-10.23314980831713,17.56723487368088,-3.5810743684264925,-3.4187537806601247,3.9380133425782873,-6.481276147000354,-4.091971479612083,74.37882115218855
2021/6/11,0.2273,24.144713265276216,27.78046939664824,80.9607179269606,21.92506417327055,-11.252871921773346,18.329630887848936,-3.416537363161071,-3.222712422006474,3.0341543166455907,-7.113786244319591,-4.499741542880173,41.44559575881237
