Time,capacity_factor,dewpoint_temperature_2m(℃),temperature_2m(℃),relative_humidity(%),surface_solar_radiation_downwards_hourly(MJ/m2),surface_latent_heat_flux_hourly(MJ/m2),surface_net_solar_radiation_hourly(MJ/m2),surface_net_thermal_radiation_hourly(MJ/m2),surface_sensible_heat_flux_hourly(MJ/m2),total_precipitation_hourly(mm),potential_evaporation_hourly(mm),total_evaporation_hourly(mm),tcdc(0~100)
2021/6/1,0.1861,23.46650596222149,26.380764982595764,84.04997464474273,18.330677619300182,-9.87106209512704,15.61997144509199,-3.1646873064258902,-1.8485860775236735,2.0153295787925627,-6.576757875045011,-3.947188731051365,87.92460589432584
2021/6/2,0.1857,24.267309634507065,27.335558444084104,83.40835984635802,20.37884949473253,-10.706706564393349,17.360209323274322,-3.189270971797664,-2.8004648753191788,1.912928251311028,-7.372644690216012,-4.281309081047365,81.27995107366048
2021/6/3,0.2197,24.36476357804852,28.004299089772488,80.6473282275669,24.27142782865069,-11.895909476126644,20.670586047749733,-4.272238763836387,-3.246987667338262,0.0796858487579326,-9.32322325938409,-4.756858978351972,83.01450362191139
2021/6/4,0.0967,24.5952010973046,27.17146092812211,85.81818746290949,14.621228707642658,-8.502059529836188,12.450601030299165,-2.591939936233661,-1.2555952377939548,10.26539174634696,-5.648523055989184,-3.399749615424462,67.76405865676367
2021/6/5,0.0469,23.98702437714052,24.9710486748602,94.25084601723694,9.220193789588556,-8.315953424176413,7.84741820539813,-1.0990235178764731,0.0203457772821513,28.33556124042252,-3.510037947088076,-3.325288752163214,62.07380163412852
2021/6/6,0.0397,22.95832946064445,23.86352226246109,94.60929430232244,3.3035518053661383,-7.0077884397259,2.813330835148469,-0.8608217709233115,2.9965176092818178,93.31161836008604,-2.825187869139082,-2.8022165631778417,44.687896160154274
2021/6/7,0.1911,23.210394917480407,25.22521881405271,88.63261302850813,11.73506328500454,-9.0060618091488,9.99012879042726,-1.6788891933326957,0.7738514726413328,13.454206054383782,-4.335644758334038,-3.6012812115204618,46.83852679609837
2021/6/8,0.2294,23.72461212331664,26.623712413299963,84.16518237800759,22.16218800482785,-11.760462219199455,18.85292042401472,-3.473291575873534,-2.010224248287976,1.8081288921027243,-7.987245514146142,-4.70267029825823,84.69645994038618
2021/6/9,0.1826,23.46761577567704,26.751404468475847,82.24548915615813,23.15489384422916,-11.775208522103702,19.69052705660901,-4.274390097530206,-2.547719268987417,0.1128050172387318,-8.58207992527873,-4.708584044576901,93.81661573018576
2021/6/10,0.2291,23.830459905298472,27.161579169493045,82.06595413350848,20.529416477053125,-11.018446818480909,17.456036775692112,-4.015705190971715,-1.7348156031095805,0.4029705548721199,-7.946223103238758,-4.405963313258562,82.72007113363873
