Time,capacity_factor,dewpoint_temperature_2m(℃),temperature_2m(℃),relative_humidity(%),surface_solar_radiation_downwards_hourly(MJ/m2),surface_latent_heat_flux_hourly(MJ/m2),surface_net_solar_radiation_hourly(MJ/m2),surface_net_thermal_radiation_hourly(MJ/m2),surface_sensible_heat_flux_hourly(MJ/m2),total_precipitation_hourly(mm),potential_evaporation_hourly(mm),total_evaporation_hourly(mm),tcdc(0~100)
2021/6/1,0.1418,23.392329751863485,25.80941239152088,86.54260361499074,17.972599040303102,-8.473297009829459,14.895713778698688,-3.356212936627041,-2.4861639125842814,11.801015755376252,-4.515341236650295,-3.388236961756096,86.30901393872216
2021/6/2,0.2078,23.94017714686354,26.7607096642043,84.55817003922031,20.3601325401239,-9.496598640187315,16.866179482931365,-3.431107716638622,-3.172300241174055,1.9216766660596931,-5.901389513587921,-3.797435415162324,78.4075948240153
2021/6/3,0.2131,23.38879901949679,27.433611451813043,78.62865437339536,24.47527057157926,-11.09413682029978,20.265034645867352,-4.713091256906619,-3.643907673590936,0.1505804085987158,-7.799743022102525,-4.436270065361601,79.8719108604783
2021/6/4,0.085,24.03952755832236,26.921852545777647,84.26320085634124,15.805426408800455,-8.04122606756579,13.07972705168304,-2.9394902265077523,-1.896355490330116,11.651442273503346,-5.105265526701516,-3.215488059791345,60.69600822012001
2021/6/5,0.0336,23.59707054653078,24.72472793782567,93.4593644030086,9.605023347976624,-6.388443360501256,7.944700705618262,-1.469110072660567,-0.9568550029736969,19.421797940495555,-2.870125381556111,-2.5545760523467624,67.6186668278101
2021/6/6,0.0272,22.94828543779699,23.75267452699921,95.26201821586008,4.443014318682822,-3.7470186634429794,3.6733738768206137,-1.1604950831992538,0.3357450382752969,70.0803812997615,-1.498462288490714,-1.498347168478288,54.823913079424855
2021/6/7,0.1307,23.01817041538106,24.741948872825503,90.1563137985722,11.464672497409309,-6.530880132845718,9.471803289241798,-2.2337541958586176,-0.6057289655249143,26.20764277945289,-3.0840176140072337,-2.6115129311623613,53.68837376827646
2021/6/8,0.1314,23.451704837432786,26.215134625079784,84.7922186238186,22.318555820068823,-11.219159651397977,18.43075045941609,-3.884120598929089,-2.458312633898847,1.558503511427452,-5.942621592778561,-4.486241847782365,85.16194309533749
2021/6/9,0.1556,22.3790940977722,26.601403582853575,77.66964745264886,22.32690959627213,-11.730791827527147,18.42809873936288,-4.344841900460402,-1.6750185479862931,0.2071015580289825,-6.721415646420411,-4.690757850795174,93.2892458430042
2021/6/10,0.2292,23.08553020538456,26.727296670438093,80.47126875067848,19.19310284256919,-9.72597202684605,15.832979421099326,-3.992498980119009,-1.6576869558322018,0.9333578696000572,-5.516654881644548,-3.889185844178666,80.4568940656046
2021/6/11,0.2234,24.230180072604742,27.04096941618915,84.63722890093531,23.32962003300928,-11.083024936137734,19.23642197599893,-4.083057574649872,-3.179612460121983,5.2556220906355655,-6.233422167663612,-4.43182658143658,63.4998829476266
2021/6/12,0.227,23.98242450455505,27.021710391536125,83.48382263252837,23.024014586655817,-11.486841593040566,18.97410250180978,-4.222311066299901,-2.673258201026877,1.5138280188127635,-6.405059752476692,-4.59323487260493,67.8018913821807
2021/6/13,0.2037,23.99477281374969,27.181943286804064,82.76301083924045,20.74801136759589,-10.370089361153374,17.08941439046145,-3.862422667120201,-2.4105351152718137,1.0323750341784157,-6.276726276305489,-4.146674632244269,75.66929559618515
2021/6/14,0.2208,22.31837177396958,27.98350462384113,71.36241279274053,21.670576198100903,-12.93125762023386,17.840844978190592,-4.157898595347176,-0.2714534356106117,0.2840314803551337,-9.664714140699132,-5.170878714397374,74.74644088883505
2021/6/15,0.25,21.775603823482506,28.181296005610584,68.25029257922051,26.22511285297634,-14.482014289366418,21.578976573794584,-4.7509163088708615,-1.652877350545375,0.0240829145567367,-11.998823147232256,-5.790905196784048,68.1911802297506
2021/6/16,0.0698,20.489033763296906,28.9303020994872,60.38293657546013,26.881997972595187,-15.651376539671825,22.114430829972143,-4.912199809225064,-0.6321709163107148,0.0095415644101163,-15.47398975481596,-6.258527720560237,65.99877612869325
2021/6/17,0.2527,20.405070472853083,29.27689487936233,58.87848187548592,26.94528229653403,-15.338203941727295,22.162539979813303,-5.188029533579837,-0.8391346436775198,0.0087328229999528,-15.69417797247035,-6.133298244395579,58.87978793583567
2021/6/18,0.246,20.59028866065545,29.728154239432364,58.0247124546428,26.990386371318408,-15.233934965961534,22.19532309205453,-5.144500361922979,-0.9646500902606512,0.0300560056880799,-16.130515299955626,-6.091688185108744,52.93679510235569
2021/6/19,0.252,20.41088785872839,29.809837076427293,57.11829305111227,25.69154548373907,-14.019559942133696,21.122888570739228,-5.108436449994203,-1.2460695382388325,0.1346946691399898,-15.69168047547744,-5.606039657445283,60.11338375220031
2021/6/20,0.1995,20.773148522324696,29.53593570265661,59.33890242159947,19.26274728282182,-10.810816820798394,15.834634821372026,-4.137991743074491,-0.4302798109050929,0.6562747709434847,-12.38058415961261,-4.322924467904698,88.3705115386797
2021/6/21,0.1754,21.13082666063885,28.84698660747232,63.12253347201332,15.747769843101704,-9.062010243130093,12.942936023393976,-3.519065712230086,-0.2788421408351622,1.4069657195346752,-10.632343371231176,-3.623641107906378,89.94092928099775
2021/6/22,0.0975,22.293925167354907,25.77579616954589,81.13376367856418,8.611238974081104,-6.1574839510842345,7.076109616283566,-1.683586603790084,-0.2361057337827143,40.33423815115031,-4.628115558898404,-2.4621747697498364,84.4258979201949
