Time,capacity_factor,dewpoint_temperature_2m(℃),temperature_2m(℃),relative_humidity(%),surface_solar_radiation_downwards_hourly(MJ/m2),surface_latent_heat_flux_hourly(MJ/m2),surface_net_solar_radiation_hourly(MJ/m2),surface_net_thermal_radiation_hourly(MJ/m2),surface_sensible_heat_flux_hourly(MJ/m2),total_precipitation_hourly(mm),potential_evaporation_hourly(mm),total_evaporation_hourly(mm),tcdc(0~100)
2021/1/1,0.0322,9.241079060614188,13.44856936921174,72.67981637745038,9.025303704900178,-4.853790729312479,7.752051238733851,-2.9620807168080123,-2.892825649308934,0.6470922995200817,-22.358440978882665,-1.940950245716559,70.18175297131346
2021/1/2,0.0772,11.62271064833658,15.282120370350675,78.35239858281153,10.5978013596108,-4.331580686485598,8.961725967942858,-3.8173199615596634,-1.9969537179860168,0.718002559061656,-20.622603383928443,-1.732108134512251,73.62745054277464
2021/1/3,0.0823,13.605603676712144,16.48751293860006,77.93014636291939,11.950253064830603,-5.407133523231202,10.536661450292833,-4.4081549357013365,-0.6720659125042303,0.4616290159822226,-17.81417285683571,-2.1621767060457917,71.12274164475788
2021/1/4,0.0965,13.990421754257303,17.62508682444781,81.79288313003148,13.53553995374286,-4.679900099314327,11.924393249775376,-4.93483895764145,-0.9468078078439977,1.226773929929882,-13.776127462000648,-1.871353795980249,83.54714307705902
2021/1/5,0.063,13.50043920465357,17.88059661052995,80.91886439697538,12.770629992561052,-3.795167132579421,11.25151245613272,-4.351319708332745,-0.5758098144997286,2.6423213607429394,-12.150357809729748,-1.5175875913084962,58.255872401143336
2021/1/6,0.0592,14.148240087256273,16.58938000531788,82.42147814909907,11.224230357640888,-3.705132611023071,9.88251584183586,-3.504758837623031,-0.7068818370254704,2.8275898307903597,-19.869537376481148,-1.4815815983233724,76.58422823185724
2021/1/7,0.0231,12.973188711262534,15.83560937112281,83.45256729659066,7.425167915614377,-5.135200545358231,6.545928965047583,-2.622437905970828,-0.466142733012842,4.838779246782279,-19.882822537753547,-2.052715409827316,94.55863312896062
2021/1/8,0.0051,8.840019618268041,12.282120772479214,80.21900151620896,5.054111962019126,-4.838571267773162,4.446096007892731,-2.0693541312670662,-3.3266540586606768,3.123262093708856,-23.62452371549652,-1.9328632138390704,95.63168139005762
2021/1/9,0.0,7.416900586485825,10.238127169014348,72.45521242133337,8.600700696389277,-4.350910453460656,7.589285179553285,-2.2609024720279915,-3.431785179592881,1.1775904156505903,-22.779288101828243,-1.7388801761589292,70.89558092532404
2021/1/10,0.0167,7.905265570660768,10.948890559613448,64.64648017861501,11.553390089751224,-3.745573475844921,10.155699170103068,-4.760571836482283,-2.937561622188793,0.8420678177627955,-26.97408230286,-1.4972314193541294,77.42849518749003
2021/1/11,0.0322,10.793809389708471,12.73132768732811,79.6748146752796,8.19616201626151,-3.539559420711555,7.213747537414196,-3.094272582142633,0.3841530228921161,4.661911919407506,-18.683185755409625,-1.4151905986856654,96.062725822485
2021/1/12,0.0,10.34185437984654,11.840555296821682,82.93183219766195,10.508440208182588,-4.196077135599026,9.383444512850476,-2.165821701157583,-2.382161251155183,1.8735528741516403,-15.334169472424428,-1.677779870521288,37.189410333679504
2021/1/13,0.0797,7.394698281776346,10.858533553319862,69.61977434845288,15.723283408927053,-4.105437592385373,14.019464186219626,-7.394725477830219,-2.2654602290104124,0.1683117787941754,-20.143523292262977,-1.6423101111127658,42.11799456126104
2021/1/14,0.0849,8.350561330388327,12.779602859797809,69.28348434099325,16.246002820667886,-5.227786112436571,14.459344929221729,-7.523647981532196,-1.720742684212322,0.1100693622826721,-19.52373503163193,-2.0915178694589227,7.12411849781014
2021/1/15,0.0965,10.964855002064628,14.2288762819869,74.09290975868547,16.562108250495942,-5.001678675380488,14.619275861839249,-7.111454431225306,-1.9562471344268029,0.0787113411685454,-15.309871142930463,-2.0007984222993063,22.071334306723465
2021/1/16,0.0913,12.071035480487698,16.123292374961967,73.65416019595872,15.266757950542134,-6.897194811793624,13.464757433267875,-5.682155477193943,-1.4452103775862284,0.9664383169608276,-23.824673017314524,-2.758056116499301,52.04539648173079
2021/1/17,0.0283,11.381389747305567,14.288706847381986,74.16456483442681,12.567061746540308,-4.395762553285973,11.075599018986155,-4.869593563957718,-3.53380267714254,1.161806574040846,-27.69034877775937,-1.7576806517483217,54.13626587769824
2021/1/18,0.0424,10.293616266442584,13.48967739494141,71.03829021938328,14.225111866318434,-3.862926521218801,12.623279783387314,-5.932344911352048,-3.3280063621940483,0.5535618552608691,-24.912854654596025,-1.5446372522087817,63.92562552315263
2021/1/19,0.0797,11.500890103344142,14.81081121112755,72.40250020979428,12.323661168132954,-6.18487738502932,10.869253087551172,-4.384757028008903,-1.5052427435217215,0.3075480091576277,-26.878225494048905,-2.473171932421139,79.36235187051717
2021/1/20,0.0257,12.531097830968026,17.373013554810715,80.07539205303993,10.528067604234188,-4.3837839935753,9.291575232934353,-3.4373958820210184,0.050278754055518,0.9106614627141276,-18.174981265885577,-1.7529589757510795,93.71830433150171
2021/1/21,0.045,14.638987052589576,18.10297910211904,84.53708587819645,6.437378064763471,-2.9296533780031195,5.697174678954801,-2.044565181864072,1.1753011988481816,2.0324168439720385,-13.265863037042095,-1.171496936157153,84.93656609179314
2021/1/22,0.0373,16.39635942142614,19.67897030025639,90.6687462451329,5.325854430475872,-6.394291756363691,4.7176018555185335,-1.644517613289513,4.417296885236143,8.595299253021565,-5.7984357519276575,-2.5568883435399474,90.19721855254896
2021/1/23,0.0913,16.516526150360537,19.453773513167924,88.48969193668381,12.84074393566962,-4.709861656151878,11.343159444567998,-3.343926930279705,-1.5756485310430666,2.2944047022306315,-7.279633078928525,-1.8833292950736504,28.73915911380173
2021/1/24,0.0656,13.503451450909612,18.08418736962833,81.52723001842925,12.029583379713875,-4.480193404597021,10.626939671784744,-3.8517949955182633,-1.2652162461824483,0.8616896743172127,-18.10069725938054,-1.7914971995395268,37.38651244887529
2021/1/25,0.0553,11.195468187847062,16.880884791289358,77.94341581447176,13.762061889085794,-5.82609212276924,12.157736327022238,-4.309159950260338,-2.063762508076053,0.1836090535643619,-15.82731460625368,-2.329694316368224,62.887969150148365
2021/1/26,0.0952,10.374319775666956,18.45261479108734,79.64975346203785,15.674621002573652,-4.975905935683318,13.851835321682266,-5.363665465889877,-1.3924105160570832,1.6760758575314425,-12.998137968213804,-1.989727677199355,30.653288618584583
2021/1/27,0.0399,12.14371419465724,18.10917604597951,82.47654036118172,11.529665812242802,-4.193604340288725,10.17093372852016,-3.677602283962324,-0.7448311759316715,1.7218504579324467,-15.205086188783175,-1.67690292472426,25.81638517752644
2021/1/28,0.0682,12.62673556076892,17.05362978055618,83.24779152094578,12.367774664690389,-3.9824922069792095,10.928694437446024,-4.060822671153707,-1.7286733288938372,2.4469733518291856,-12.120704387130935,-1.592490285665904,56.69307194072002
2021/1/29,0.0412,8.649641757069558,12.939061250584716,70.39106108098045,13.96150249620762,-4.727279779688356,12.32646273303958,-5.605309173811929,-4.276290275586838,0.7712677966291799,-28.23787186247828,-1.890303431009908,75.78295921484022
2021/1/30,0.054,9.06032269754899,13.79866326261162,73.36851256211536,11.232180249150309,-5.44480816801582,9.924208537141643,-4.271117820614084,-0.8076233831965105,0.4693185459133619,-23.141944721574998,-2.177217938492416,61.029568745561335
2021/1/31,0.0874,9.858010615855704,13.966073092331898,69.73942585879529,13.49773608358056,-5.718178728554058,11.93722986678338,-5.213597661692459,-1.3605100649175998,0.1055898361712441,-26.88836000626152,-2.286547397470845,71.72837458942652
2021/2/1,0.0952,11.144478656182716,15.09610153949764,69.82379111998964,15.87333123944644,-5.734838426802303,14.037577264476052,-5.577796312471975,-2.2202395735826146,0.1476416798122894,-20.61177170976594,-2.2931932496053813,60.67623466817983
2021/2/2,0.0952,9.294859374368414,15.925416735692195,78.7143190282298,14.665881748622883,-5.087599421786009,12.956302886882042,-5.091815138001966,-2.036908539434686,0.831589815595838,-15.757413547273217,-2.034370534889023,33.27473451653114
2021/2/3,0.0939,11.155554849229588,16.42065751358493,73.80723248146633,14.967269034522683,-3.990672374933986,13.241206087259748,-5.564273720049407,-2.0808638126692385,0.5388142386131448,-22.2514372766463,-1.59574559445561,30.36396063419283
2021/2/4,0.1016,11.237387352659592,16.88219797655756,76.8296144634399,14.135072048327023,-5.341598807146871,12.493082467072988,-4.794730458405438,-1.384793506309932,0.5887412666375569,-20.00147507100565,-2.135956594866399,47.45103964959205
2021/2/5,0.0887,10.890359086437602,16.356339023770634,78.44627972634247,12.472483581565893,-4.223115161092009,11.088005720193188,-4.178728187858939,-2.392618973070574,0.4312660641391668,-18.32399847049094,-1.6886844575988045,83.52532461820627
2021/2/6,0.108,11.69462784898092,17.130233358797373,76.69655115791441,17.046755789359747,-5.272741809199858,15.079201633324606,-5.983109880364728,-2.731671056893285,0.152545424160277,-13.625794180033548,-2.108407727441828,49.643102899106765
2021/2/7,0.1029,12.15664088171277,17.593717110277463,77.48355793986825,17.481198439573387,-5.108134404558638,15.464342587838146,-5.549530522150982,-3.0322731809649675,0.1350333023835206,-18.01323918663838,-2.0426113372662678,56.14354152480088
